funding_total_usd,funding_rounds,founded_year,status_class,funding_total_category
18478604.03736397,1,2012,1,1
44000000.0,2,2000,2,1
6500000.0,2,2012,1,1
18478604.03736397,1,2007,1,1
143578.0,1,2009,1,0
104088960.0,8,2004,1,2
400000.0,2,2009,1,0
8600000.0,1,2004,1,1
300000.0,1,2041,0,0
5450000.0,1,2009,1,1
704534.0,3,2013,1,0
226350.0,1,1996,1,0
19210000.0,2,2005,1,1
125000.0,1,2009,1,0
15000000.0,1,2012,1,1
25000000.0,2,1996,1,1
250000.0,1,2009,1,0
18478604.03736397,1,2010,1,1
40699993.0,3,2013,1,1
2161671.0,2,2012,1,1
18478604.03736397,1,2014,1,1
18478604.03736397,1,2012,1,1
2000000.0,2,2013,1,1
18478604.03736397,1,2012,1,1
4000000.0,1,2012,1,1
1250000.0,1,2012,1,1
1550000.0,1,2012,0,1
40000.0,1,2013,1,0
18478604.03736397,1,2000,1,1
42000000.0,3,2000,2,1
124500000.0,4,2013,1,2
6029991.0,1,2012,0,1
408750.0,1,2007,1,0
37000000.0,7,2011,1,1
213700.0,2,2013,1,0
15000.0,1,2013,1,0
7200000.0,1,2013,1,1
1999998.0,1,1999,2,1
16876.0,1,2012,0,0
2101212.0,3,2010,1,1
25000.0,1,2011,1,0
2000000.0,1,2007,2,1
35000.0,1,2011,1,0
100000.0,1,2014,1,0
474545.0,2,2013,1,0
100000.0,1,2015,1,0
11180367.275065,1,2012,1,1
8000000.0,3,2012,1,1
1551791.0,2,2013,0,1
4000000.0,1,2012,1,1
5000.0,1,2007,1,0
3000000.0,1,2009,1,1
18478604.03736397,1,2010,1,1
2624622.0,3,2010,1,1
1016000.0,1,2011,1,1
90000.0,1,2013,1,0
200000.0,1,2013,1,0
2000000.0,1,1985,2,1
13080000.0,2,2012,1,1
18478604.03736397,1,1983,1,1
160000.0,1,2007,1,0
1694742.0,1,1998,1,1
6835529.56366536,1,2012,1,1
300000.0,2,2014,0,0
20000.0,2,2013,1,0
4099999.0,1,2012,1,1
6000000.0,1,2014,1,1
18478604.03736397,1,2012,1,1
580000.0,2,2011,1,0
14000000.0,1,2012,0,1
1390750.0,3,2012,2,1
10081869.0,5,2001,1,1
82629.6045347127,1,2015,1,0
6499999.0,3,2009,2,1
18478604.03736397,2,2011,1,1
3425000.0,2,2011,2,1
1450000.0,1,2012,1,1
1000000.0,1,1988,0,0
100000.0,1,2011,1,0
3500000.0,2,2010,1,1
18478604.03736397,1,2005,1,1
39728460.0,2,1999,1,1
6316226.0,4,1995,2,1
200000.0,1,2012,1,0
26000000.0,1,2012,1,1
36500.0,1,2009,1,0
5550000.0,3,2007,2,1
26000000.0,2,2012,1,1
300000.0,1,2014,1,0
9225000.0,4,2013,1,1
273417808.0,2,2012,1,2
25000000.0,1,2012,2,1
500000.0,1,2012,1,0
18478604.03736397,1,2014,0,1
18000000.0,4,2007,1,1
10399999.0,2,2012,2,1
18478604.03736397,1,2001,2,1
100000.0,1,2010,1,0
4715000.0,2,2010,1,1
63000.0,1,2012,1,0
2800000.0,1,1994,1,1
3300000.0,1,2015,1,1
20000.0,2,2012,1,0
50000.0,1,2014,1,0
2030000.0,1,2012,2,1
92500000.0,1,2012,1,1
10381850.0,2,2012,2,1
54621196.0,2,1992,1,1
3400000.0,1,2012,2,1
5000000.0,1,2005,0,1
100000000.0,1,2014,1,1
9000000.0,1,2014,1,1
2450000.0,1,2005,1,1
17345709.0,6,2003,1,1
